Date;Plus Haut
Août 2019;-0.147
Juill 2019;0.081
Juin 2019;0.215
Mai 2019;0.397
Avr 2019;0.451
Mar 2019;0.599
Févr 2019;0.609
Jan 2019;0.753
Déc 2018;0.756
Nov 2018;0.833
Oct 2018;0.928
Sept 2018;0.868
Août 2018;0.794
Juill 2018;0.761
Juin 2018;0.918
Mai 2018;0.899
Avr 2018;0.887
Mar 2018;0.991
Févr 2018;1.057
Jan 2018;0.996
Déc 2017;0.811
Nov 2017;0.798
Oct 2017;0.91
Sept 2017;0.811
Août 2017;0.818
Juill 2017;0.954
Juin 2017;0.84
Mai 2017;0.898
Avr 2017;0.987
Mar 2017;1.148
Févr 2017;1.154
Jan 2017;1.115
Déc 2016;0.922
Nov 2016;0.885
Oct 2016;0.505
Sept 2016;0.317
Août 2016;0.218
Juill 2016;0.269
Juin 2016;0.511
Mai 2016;0.643
Avr 2016;0.671
Mar 2016;0.632
Févr 2016;0.693
Jan 2016;0.971
Déc 2015;1.051
Nov 2015;1.054
Oct 2015;1.013
Sept 2015;1.181
Août 2015;1.151
Juill 2015;1.354
Juin 2015;1.407
Mai 2015;1.08
Avr 2015;0.674
Mar 2015;0.666
Févr 2015;0.659
Jan 2015;0.837
Déc 2014;1.056
Nov 2014;1.227
Oct 2014;1.336
Sept 2014;1.469
Août 2014;1.586
Juill 2014;1.66
Juin 2014;1.876
Mai 2014;1.992
Avr 2014;2.169
Mar 2014;2.245
Févr 2014;2.315
Jan 2014;2.501
Déc 2013;2.475
Nov 2013;2.344
Oct 2013;2.527
Sept 2013;2.653
Août 2013;2.533
Juill 2013;2.382
Juin 2013;2.526
Mai 2013;2.11
Avr 2013;2.048
Mar 2013;2.177
Févr 2013;2.335
Jan 2013;2.317
Déc 2012;2.086
Nov 2012;2.257
Oct 2012;2.286
Sept 2012;2.317
Août 2012;2.2
Juill 2012;2.72
Juin 2012;2.777
Mai 2012;3.016
Avr 2012;3.181
Mar 2012;3.06
Févr 2012;3.12
Jan 2012;3.432
Déc 2011;3.448
Nov 2011;3.826
Oct 2011;3.354
Sept 2011;2.95
Août 2011;3.332
Juill 2011;3.589
Juin 2011;3.548
Mai 2011;3.701
Avr 2011;3.823
Mar 2011;3.746
Févr 2011;3.735
Jan 2011;3.61
Déc 2010;3.455
Nov 2010;3.272
Oct 2010;2.974
Sept 2010;2.876
Août 2010;3.012
Juill 2010;3.091
Juin 2010;3.202
Mai 2010;3.367
Avr 2010;3.533
Mar 2010;3.539
Févr 2010;3.611
Jan 2010;3.662
Déc 2009;3.623
Nov 2009;3.683
Oct 2009;3.672
Sept 2009;3.699
Août 2009;3.775
Juill 2009;3.874
Juin 2009;4.09
Mai 2009;4.04
Avr 2009;3.797
Mar 2009;3.802
Févr 2009;3.915
Jan 2009;3.958
Déc 2008;3.79
Nov 2008;4.318
Oct 2008;4.423
Sept 2008;4.573
Août 2008;4.571
Juill 2008;4.889
Juin 2008;4.869
Mai 2008;4.641
Avr 2008;4.452
Mar 2008;4.183
Févr 2008;4.217
Jan 2008;4.456
Déc 2007;4.472
Nov 2007;4.447
Oct 2007;4.557
Sept 2007;4.526
Août 2007;4.298
Juill 2007;4.429
Juin 2007;4.62
Mai 2007;4.439
Avr 2007;4.267
Mar 2007;4.112
Févr 2007;3.978
Jan 2007;4.148
Déc 2006;3.977
Nov 2006;3.736
Oct 2006;3.797
Sept 2006;3.685
Août 2006;3.757
Juill 2006;3.932
Juin 2006;4.058
Mai 2006;3.946
Avr 2006;4.007
Mar 2006;3.821
Févr 2006;3.556
Jan 2006;3.481
Déc 2005;3.322
Nov 2005;3.476
Oct 2005;3.441
Sept 2005;3.192
Août 2005;3.203
Juill 2005;3.284
Juin 2005;3.184
Mai 2005;3.351
Avr 2005;3.446
Mar 2005;3.705
Févr 2005;3.736
Jan 2005;3.532
Déc 2004;3.69
Nov 2004;3.817
Oct 2004;3.926
Sept 2004;4.052
Août 2004;4.088
Juill 2004;4.29
Juin 2004;4.378
Mai 2004;4.346
Avr 2004;4.283
Mar 2004;4.015
Févr 2004;4.1
Jan 2004;4.256
Déc 2003;4.3
Nov 2003;4.473
Oct 2003;4.334
Sept 2003;4.066
Août 2003;4.17
Juill 2003;4.211
Juin 2003;3.844
Mai 2003;3.758
Avr 2003;4.128
Mar 2003;4.114
Févr 2003;3.99
Jan 2003;4.116
Déc 2002;4.251
Nov 2002;4.558
Oct 2002;4.567
Sept 2002;4.388
Août 2002;4.639
Juill 2002;4.831
Juin 2002;5.04
Mai 2002;5.275
Avr 2002;5.22
Mar 2002;5.331
Févr 2002;5.024
Jan 2002;4.97
Déc 2001;5.071
Nov 2001;4.674
Oct 2001;4.529
Sept 2001;4.872
Août 2001;4.87
Juill 2001;4.979
Juin 2001;5.227
Mai 2001;5.293
Avr 2001;5.188
Mar 2001;4.842
Févr 2001;4.876
Jan 2001;4.932
Déc 2000;4.99
Nov 2000;5.117
Oct 2000;5.343
Sept 2000;5.374
Août 2000;5.456
Juill 2000;5.346
Juin 2000;5.363
Mai 2000;5.345
Avr 2000;5.4
Mar 2000;5.333
Févr 2000;5.615
Jan 2000;5.682
Déc 1999;5.473
Nov 1999;5.312
Oct 1999;5.291
Sept 1999;5.258
Août 1999;5.034
Juill 1999;4.946
Juin 1999;4.676
Mai 1999;4.233
Avr 1999;3.901
Mar 1999;4.102
Févr 1999;4.076
Jan 1999;3.712
