euribor_1a	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
janvier	3.069	3.949	4.574	3.483	2.705	2.216	2.312	2.833	4.064	4.498	2.622	1.232	1.55	1.837	0.575	0.562	0.298	0.042	-0.095	-0.189	-0.116
fevrier	3.03	4.111	4.591	3.594	2.504	2.163	2.31	2.914	4.094	4.349	2.135	1.225	1.714	1.678	0.594	0.549	0.255	-0.008	-0.106	-0.191	-0.108
mars	3.046	4.267	4.471	3.816	2.411	2.055	2.335	3.105	4.106	4.598	1.909	1.215	1.924	1.499	0.545	0.577	0.212	-0.012	-0.11	-0.191	-0.109
avril	2.756	4.364	4.481	3.86	2.447	2.163	2.265	3.221	4.249	4.82	1.771	1.224	2.086	1.368	0.528	0.604	0.18	-0.01	-0.119	-0.19	-0.112
mai	2.683	4.848	4.52	3.963	2.252	2.297	2.193	3.308	4.37	4.994	1.644	1.249	2.147	1.266	0.485	0.592	0.165	-0.013	-0.127	-0.188	-0.134
juin	2.836	4.965	4.312	3.869	2.014	2.405	2.103	3.401	4.505	5.361	1.61	1.281	2.144	1.219	0.507	0.513	0.163	-0.028	-0.149	-0.181	-0.19
juillet	3.03	5.105	4.311	3.645	2.076	2.361	2.168	3.539	4.564	5.393	1.412	1.373	2.183	1.061	0.525	0.488	0.167	-0.056	-0.154	-0.18	-0.283
aout	3.237	5.248	4.108	3.44	2.279	2.302	2.223	3.615	4.666	5.323	1.334	1.421	2.097	0.877	0.542	0.469	0.161	-0.048	-0.156	-0.169	-0.332
septembre	3.301	5.219	3.77	3.236	2.258	2.377	2.219	3.715	4.724	5.384	1.261	1.42	2.067	0.74	0.543	0.362	0.154	-0.057	-0.168	-0.166	
octobre	3.684	5.218	3.369	3.126	2.303	2.316	2.414	3.799	4.647	5.248	1.243	1.495	2.11	0.65	0.541	0.338	0.128	-0.069	-0.18	-0.154	
novembre	3.689	5.193	3.198	3.017	2.41	2.328	2.684	3.864	4.607	4.35	1.231	1.54	2.044	0.588	0.506	0.335	0.079	-0.074	-0.189	-0.147	
décembre	3.826	4.87	3.298	2.872	2.381	2.301	2.786	3.928	4.793	3.452	1.242	1.526	2.003	0.549	0.543	0.329	0.059	-0.08	-0.19	-0.129	
