euribor_3m	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
janvier	3.137	3.343	4.771	3.339	2.854	2.07	2.145	2.512	3.752	4.482	2.457	0.68	1.017	1.222	0.205	0.292	0.063	-0.146	-0.326	-0.328	-0.308
fevrier	3.095	3.537	4.756	3.357	2.812	2.057	2.138	2.6	3.818	4.362	1.943	0.662	1.087	1.048	0.223	0.288	0.048	-0.184	-0.329	-0.329	-0.308
mars	3.047	3.747	4.709	3.391	2.665	2.043	2.137	2.723	3.891	4.604	1.635	0.645	1.176	0.858	0.206	0.305	0.027	-0.229	-0.329	-0.328	-0.309
avril	2.696	3.925	4.682	3.407	2.574	2.051	2.137	2.794	3.972	4.784	1.422	0.644	1.321	0.744	0.209	0.33	0.005	-0.249	-0.33	-0.328	-0.31
mai	2.579	4.362	4.637	3.467	2.614	2.054	2.126	2.889	4.069	4.857	1.282	0.687	1.425	0.685	0.201	0.325	-0.01	-0.257	-0.329	-0.325	-0.312
juin	2.627	4.502	4.454	3.464	2.217	2.07	2.111	2.986	4.148	4.941	1.228	0.728	1.489	0.659	0.21	0.241	-0.014	-0.268	-0.33	-0.322	-0.329
juillet	2.676	4.583	4.467	3.41	2.12	2.073	2.119	3.102	4.216	4.961	0.975	0.849	1.598	0.497	0.221	0.205	-0.019	-0.295	-0.33	-0.321	-0.365
aout	2.695	4.777	4.354	3.352	2.105	2.069	2.132	3.226	4.544	4.965	0.86	0.895	1.552	0.332	0.226	0.192	-0.028	-0.298	-0.329	-0.319	-0.393
septembre	2.727	4.853	3.983	3.31	2.106	2.071	2.139	3.335	4.742	5.019	0.772	0.881	1.536	0.246	0.223	0.097	-0.037	-0.302	-0.329	-0.319	
octobre	3.376	5.041	3.6	3.261	2.083	2.083	2.197	3.502	4.687	5.113	0.737	0.998	1.576	0.208	0.226	0.083	-0.054	-0.309	-0.33	-0.318	
novembre	3.468	5.092	3.386	3.124	2.062	2.098	2.361	3.597	4.639	4.238	0.716	1.042	1.485	0.192	0.223	0.081	-0.088	-0.313	-0.329	-0.316	
decembre	3.446	4.933	3.345	2.941	2.087	2.156	2.474	3.687	4.848	3.293	0.712	1.022	1.425	0.186	0.273	0.081	-0.126	-0.316	-0.328	-0.312	
