"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"Août 2019","-0,387","-0,161","-0,147","-0,447","111,42%"
"Juill 2019","-0,183","0,012","0,081","-0,186","2.950,00%"
"Juin 2019","-0,006","0,213","0,215","-0,011","-102,84%"
"Mai 2019","0,211","0,386","0,397","0,207","-42,97%"
"Avr 2019","0,370","0,343","0,451","0,310","17,09%"
"Mar 2019","0,316","0,575","0,599","0,285","-45,04%"
"Févr 2019","0,575","0,561","0,609","0,505","3,05%"
"Jan 2019","0,558","0,693","0,753","0,553","-21,41%"
"Déc 2018","0,710","0,713","0,756","0,645","3,65%"
"Nov 2018","0,685","0,760","0,833","0,674","-9,39%"
"Oct 2018","0,756","0,821","0,928","0,727","-6,67%"
"Sept 2018","0,810","0,692","0,868","0,678","17,22%"
"Août 2018","0,691","0,754","0,794","0,653","-5,86%"
"Juill 2018","0,734","0,669","0,761","0,609","9,55%"
"Juin 2018","0,670","0,704","0,918","0,660","-0,45%"
"Mai 2018","0,673","0,802","0,899","0,629","-17,12%"
"Avr 2018","0,812","0,724","0,887","0,707","12,78%"
"Mar 2018","0,720","0,926","0,991","0,700","-22,75%"
"Févr 2018","0,932","0,982","1,057","0,919","-4,70%"
"Jan 2018","0,978","0,768","0,996","0,756","24,74%"
"Déc 2017","0,784","0,689","0,811","0,605","14,62%"
"Nov 2017","0,684","0,761","0,798","0,650","-9,88%"
"Oct 2017","0,759","0,770","0,910","0,709","1,61%"
"Sept 2017","0,747","0,662","0,811","0,599","11,99%"
"Août 2017","0,667","0,810","0,818","0,644","-17,25%"
"Juill 2017","0,806","0,829","0,954","0,731","-1,71%"
"Juin 2017","0,820","0,733","0,840","0,578","14,53%"
"Mai 2017","0,716","0,771","0,898","0,704","-6,16%"
"Avr 2017","0,763","0,981","0,987","0,746","-20,93%"
"Mar 2017","0,965","0,915","1,148","0,892","9,41%"
"Févr 2017","0,882","1,064","1,154","0,866","-14,20%"
"Jan 2017","1,028","0,695","1,115","0,631","50,51%"
"Déc 2016","0,683","0,785","0,922","0,632","-7,20%"
"Nov 2016","0,736","0,484","0,885","0,423","53,65%"
"Oct 2016","0,479","0,132","0,505","0,119","302,52%"
"Sept 2016","0,119","0,189","0,317","0,084","-26,54%"
"Août 2016","0,162","0,104","0,218","0,095","44,64%"
"Juill 2016","0,112","0,195","0,269","0,094","-44,28%"
"Juin 2016","0,201","0,490","0,511","0,198","-58,64%"
"Mai 2016","0,486","0,641","0,643","0,453","-25,35%"
"Avr 2016","0,651","0,405","0,671","0,342","58,39%"
"Mar 2016","0,411","0,476","0,632","0,383","-11,42%"
"Févr 2016","0,464","0,642","0,693","0,454","-29,05%"
"Jan 2016","0,654","0,944","0,971","0,644","-34,14%"
"Déc 2015","0,993","0,801","1,051","0,766","24,75%"
"Nov 2015","0,796","0,859","1,054","0,752","-10,36%"
"Oct 2015","0,888","0,910","1,013","0,768","-1,66%"
"Sept 2015","0,903","1,148","1,181","0,877","-19,16%"
"Août 2015","1,117","0,958","1,151","0,881","18,70%"
"Juill 2015","0,941","1,194","1,354","0,928","-21,45%"
"Juin 2015","1,198","0,814","1,407","0,794","47,72%"
"Mai 2015","0,811","0,633","1,080","0,633","24,77%"
"Avr 2015","0,650","0,499","0,674","0,332","36,55%"
"Mar 2015","0,476","0,538","0,666","0,387","-9,68%"
"Févr 2015","0,527","0,556","0,659","0,497","-5,39%"
"Jan 2015","0,557","0,828","0,837","0,523","-33,45%"
"Déc 2014","0,837","0,961","1,056","0,826","-13,98%"
"Nov 2014","0,973","1,200","1,227","0,970","-18,30%"
"Oct 2014","1,191","1,290","1,336","1,108","-7,82%"
"Sept 2014","1,292","1,255","1,469","1,239","3,03%"
"Août 2014","1,254","1,546","1,586","1,217","-18,99%"
"Juill 2014","1,548","1,601","1,660","1,498","-3,07%"
"Juin 2014","1,597","1,772","1,876","1,572","-9,93%"
"Mai 2014","1,773","1,958","1,992","1,710","-9,91%"
"Avr 2014","1,968","2,099","2,169","1,949","-5,70%"
"Mar 2014","2,087","2,149","2,245","2,020","-5,27%"
"Févr 2014","2,203","2,233","2,315","2,117","-1,52%"
"Jan 2014","2,237","2,463","2,501","2,233","-8,02%"
"Déc 2013","2,432","2,227","2,475","2,203","9,01%"
"Nov 2013","2,231","2,227","2,344","2,208","-0,67%"
"Oct 2013","2,246","2,326","2,527","2,208","-3,73%"
"Sept 2013","2,333","2,525","2,653","2,323","-5,47%"
"Août 2013","2,468","2,199","2,533","2,164","10,08%"
"Juill 2013","2,242","2,359","2,382","2,159","-4,51%"
"Juin 2013","2,348","2,083","2,526","2,054","13,05%"
"Mai 2013","2,077","1,704","2,110","1,647","21,75%"
"Avr 2013","1,706","2,014","2,048","1,697","-15,42%"
"Mar 2013","2,017","2,160","2,177","1,980","-7,22%"
"Févr 2013","2,174","2,288","2,335","2,133","-3,68%"
"Jan 2013","2,257","2,028","2,317","2,010","13,19%"
"Déc 2012","1,994","2,058","2,086","1,919","-2,83%"
"Nov 2012","2,052","2,256","2,257","2,025","-9,24%"
"Oct 2012","2,261","2,195","2,286","2,021","3,53%"
"Sept 2012","2,184","2,164","2,317","2,155","0,78%"
"Août 2012","2,167","2,066","2,200","2,009","4,03%"
"Juill 2012","2,083","2,693","2,720","2,021","-23,11%"
"Juin 2012","2,709","2,367","2,777","2,056","15,28%"
"Mai 2012","2,350","2,969","3,016","2,328","-20,90%"
"Avr 2012","2,971","2,913","3,181","2,872","2,20%"
"Mar 2012","2,907","2,992","3,060","2,862","-3,10%"
"Févr 2012","3,000","3,073","3,120","2,837","-2,15%"
